date,pollution,dew,temp,press,wnd_dir,wnd_spd,humi
2010/1/2 0:00,148,-16,-4,1020,SE,1.79,38
2010/1/2 1:00,159,-15,-4,1020,SE,2.68,42
2010/1/2 2:00,181,-11,-5,1021,SE,3.57,63.5
2010/1/2 3:00,138,-7,-5,1022,SE,5.36,85
2010/1/2 4:00,109,-7,-5,1022,SE,6.25,85
2010/1/2 5:00,105,-7,-6,1022,SE,7.14,92
2010/1/2 6:00,124,-7,-6,1023,SE,8.93,92
2010/1/2 7:00,120,-7,-5,1024,SE,10.72,85
2010/1/2 8:00,132,-8,-6,1024,SE,12.51,85
2010/1/2 9:00,140,-7,-5,1025,SE,14.3,85
2010/1/2 10:00,152,-7,-5,1026,SE,17.43,85
2010/1/2 11:00,148,-8,-5,1026,SE,20.56,79
2010/1/2 12:00,164,-8,-5,1026,SE,23.69,79
2010/1/2 13:00,158,-8,-5,1025,SE,27.71,79
2010/1/2 14:00,154,-9,-5,1025,SE,31.73,73
2010/1/2 15:00,159,-9,-5,1025,SE,35.75,73
2010/1/2 16:00,164,-9,-5,1026,SE,37.54,73
2010/1/2 17:00,170,-8,-5,1027,SE,39.33,79
2010/1/2 18:00,149,-8,-5,1027,SE,42.46,79
2010/1/2 19:00,154,-8,-5,1028,SE,44.25,79
2010/1/2 20:00,164,-7,-5,1028,SE,46.04,85
2010/1/2 21:00,156,-7,-5,1027,SE,49.17,85
2010/1/2 22:00,126,-8,-6,1028,SE,52.3,85
2010/1/2 23:00,90,-8,-6,1027,SE,55.43,85
2010/1/3 0:00,63,-7,-6,1027,SE,58.56,92
2010/1/3 1:00,65,-8,-6,1026,SE,61.69,85
2010/1/3 2:00,55,-8,-7,1026,SE,65.71,92
2010/1/3 3:00,65,-8,-7,1025,SE,68.84,92
2010/1/3 4:00,83,-8,-7,1024,SE,72.86,92
2010/1/3 5:00,91,-9,-8,1024,SE,76.88,92
2010/1/3 6:00,86,-10,-8,1024,SE,80.9,85
2010/1/3 7:00,82,-10,-9,1024,SE,84.92,92
2010/1/3 8:00,86,-10,-9,1024,SE,89.84,92
2010/1/3 9:00,78,-11,-9,1023,SE,93.86,85
2010/1/3 10:00,98,-11,-9,1023,SE,97.88,85
2010/1/3 11:00,107,-11,-9,1022,SE,102.8,85
2010/1/3 12:00,90,-11,-9,1021,SE,105.93,85
2010/1/3 13:00,96,-11,-9,1020,SE,111.74,85
2010/1/3 14:00,95,-11,-9,1020,SE,116.66,85
2010/1/3 15:00,86,-11,-9,1020,SE,121.58,85
2010/1/3 16:00,70,-11,-9,1020,SE,124.71,85
2010/1/3 17:00,61,-11,-9,1020,SE,127.84,85
2010/1/3 18:00,53,-11,-9,1021,cv,0.89,85
2010/1/3 19:00,71,-11,-9,1022,cv,1.78,85
2010/1/3 20:00,72,-10,-9,1022,NW,4.02,92
2010/1/3 21:00,76,-11,-10,1023,NW,7.15,92
2010/1/3 22:00,73,-11,-9,1023,NW,11.17,85
2010/1/3 23:00,79,-12,-11,1023,NW,14.3,92
2010/1/4 0:00,58,-14,-12,1023,NW,16.09,85
2010/1/4 1:00,25,-16,-9,1023,NW,21.9,56
2010/1/4 2:00,26,-17,-10,1024,NW,29.95,56
2010/1/4 3:00,28,-18,-11,1024,NW,39.78,56
2010/1/4 4:00,26,-19,-11,1025,NW,48.72,51
2010/1/4 5:00,20,-20,-12,1026,NW,55.87,51
2010/1/4 6:00,29,-21,-12,1027,NW,64.81,47
2010/1/4 7:00,26,-21,-13,1027,NW,73.75,51
2010/1/4 8:00,27,-22,-13,1028,NW,80.9,46
2010/1/4 9:00,27,-22,-13,1029,NW,90.73,46
2010/1/4 10:00,25,-22,-12,1030,NW,100.56,43
2010/1/4 11:00,29,-23,-12,1031,NW,108.61,39
2010/1/4 12:00,32,-21,-11,1030,NW,117.55,43
2010/1/4 13:00,28,-20,-10,1030,NW,127.38,43
2010/1/4 14:00,29,-21,-10,1030,NW,136.32,40
2010/1/4 15:00,30,-21,-9,1030,NW,145.26,37
2010/1/4 16:00,30,-21,-9,1031,NW,152.41,37
2010/1/4 17:00,28,-20,-11,1032,NW,159.56,47
2010/1/4 18:00,26,-23,-11,1032,NW,165.37,36
2010/1/4 19:00,31,-21,-12,1033,NW,171.18,47
2010/1/4 20:00,33,-24,-12,1034,NW,180.12,36
2010/1/4 21:00,29,-24,-13,1034,NW,187.27,39
2010/1/4 22:00,31,-24,-13,1035,NW,195.32,39
2010/1/4 23:00,30,-26,-15,1035,NW,198.45,38
2010/1/5 0:00,34,-26,-17,1035,NW,201.58,45
2010/1/5 1:00,27,-26,-18,1035,NW,205.6,49
2010/1/5 2:00,25,-26,-19,1035,NW,208.73,53
2010/1/5 3:00,28,-27,-18,1035,NW,213.65,45
2010/1/5 4:00,28,-27,-19,1035,NW,218.57,49
2010/1/5 5:00,27,-27,-16,1034,NE,4.92,38
2010/1/5 6:00,27,-26,-16,1035,NE,8.05,41
2010/1/5 7:00,27,-27,-16,1034,NE,13.86,38
2010/1/5 8:00,29,-26,-16,1035,NE,18.78,41
2010/1/5 9:00,36,-26,-15,1035,NE,24.59,38
2010/1/5 10:00,30,-25,-14,1035,NE,29.51,38
2010/1/5 11:00,27,-25,-13,1035,NE,34.43,35
2010/1/5 12:00,39,-25,-12,1034,NE,39.35,33
2010/1/5 13:00,41,-24,-11,1032,NE,41.14,33
2010/1/5 14:00,33,-22,-11,1032,cv,0.89,39
2010/1/5 15:00,50,-23,-11,1031,NW,1.79,36
2010/1/5 16:00,56,-24,-11,1031,NW,3.58,33
2010/1/5 17:00,59,-23,-11,1031,NW,5.37,36
2010/1/5 18:00,60,-23,-11,1032,NW,7.16,36
2010/1/5 19:00,84,-22,-13,1033,NW,10.29,46
2010/1/5 20:00,106,-22,-12,1033,NW,13.42,43
2010/1/5 21:00,66,-24,-18,1033,NW,16.55,59
2010/1/5 22:00,50,-22,-13,1034,NW,20.57,46
2010/1/5 23:00,56,-22,-16,1033,NW,23.7,59
2010/1/6 0:00,77,-25,-17,1033,NW,26.83,49
2010/1/6 1:00,50,-25,-14,1033,NE,4.02,38
2010/1/6 2:00,44,-26,-14,1034,NE,8.04,35
2010/1/6 3:00,27,-26,-14,1033,NE,13.85,35
2010/1/6 4:00,28,-26,-14,1033,NE,17.87,35
2010/1/6 5:00,21,-26,-14,1033,NE,23.68,35
2010/1/6 6:00,25,-26,-14,1033,NE,28.6,35
2010/1/6 7:00,20,-26,-15,1034,NE,33.52,38
2010/1/6 8:00,29,-26,-14,1034,NE,39.33,35
2010/1/6 9:00,34,-25,-13,1035,NE,44.25,35
2010/1/6 10:00,42,-25,-12,1035,NE,50.06,33
2010/1/6 11:00,28,-24,-11,1035,NE,54.98,33
2010/1/6 12:00,36,-24,-10,1034,NE,59,30
2010/1/6 13:00,48,-22,-10,1033,NW,4.02,36
2010/1/6 14:00,49,-22,-9,1033,NW,5.81,34
2010/1/6 15:00,52,-22,-8,1033,cv,0.89,31
